name,country,latitude,longitude,timezone,skill_level_min,skill_level_max,primary_airport_iata,region_major,slug,active
58th Street,"USA, North East, New Jersey",39.62155713954,-74.193077087402,America/Los_Angeles,beginner,intermediate,MJX,North America,58th-street,True
5th Street Beach Haven,"USA, North East, New Jersey",39.564428398249,-74.233160018921,America/Los_Angeles,beginner,intermediate,ACY,North America,5th-street-beach-haven,True
6 pillars,"South Africa, South East Port Elizabeth",-33.978447519377,25.655876398087,Africa/Johannesburg,intermediate,advanced,PLZ,Africa,6-pillars,True
7 olas,"Colombia, Caribbean",11.320374195181,-74.098470211029,UTC,intermediate,advanced,SMR,Other,7-olas,True
7 rocks,"Philippines, Mindanao",9.2442786704715,126.09146118164,UTC,beginner,intermediate,TDG,Asia,7-rocks,True
7th Avenue,"USA, South East, North Florida",30.296193427424,-81.389041543007,America/Los_Angeles,beginner,intermediate,NRB,North America,7th-avenue,True
81st Street,"USA, North East, Virginia",36.906794887097,-75.989180803299,America/Los_Angeles,beginner,intermediate,NTU,North America,81st-street,True
8th Ave n.,"USA, South East, South Carolina",33.770211362159,-78.770309686661,America/Los_Angeles,beginner,intermediate,CRE,North America,8th-ave-n.,True
8th street,Liberia,6.2903422513069,-10.78841328621,UTC,beginner,intermediate,MLW,Other,8th-street,True
90 Mile Beach,"New Zealand, New Zealand NI, NW Coast",-35.037586537405,173.15380096436,Pacific/Auckland,beginner,intermediate,KAT,Oceania,90-mile-beach,True
92nd Street,"USA, North East, Long Island NY",40.583330639749,-73.812053203583,America/Los_Angeles,beginner,intermediate,JFK,North America,92nd-street,True
A Lanzada,"Spain, Galicia",42.454621116231,-8.8814163208008,Europe/Madrid,intermediate,advanced,VGO,Europe,a-lanzada,True
A-Bay,"Australia, QLD, Sunshine Coast",-26.387564033081,153.11654090881,Australia/Sydney,beginner,intermediate,NSV,Oceania,a-bay,True
A-Beach,"USA, California, San Luis Obispo",35.403165679424,-120.86955428124,America/Los_Angeles,beginner,intermediate,SBP,North America,a-beach,True
Å-land,Sweden,57.339215030548,12.065391540527,UTC,beginner,intermediate,GOT,Europe,å-land,True
A-ver-o-mar,"Portugal, North Porto",41.390589886459,-8.775200843811,Europe/Lisbon,intermediate,advanced,OPO,Europe,a-ver-o-mar,True
aaron's,"Indonesia, Mentawai",-2.2784615120746,99.593939781189,Asia/Jakarta,intermediate,advanced,RKI,Asia,aaron's,True
Ab,"USA, California, San Diego County",32.713912773621,-117.25699961185,America/Los_Angeles,beginner,intermediate,NZY,North America,ab,True
Abalolo Reef,"USA, Hawaii, Oahu",21.302227031754,-157.89822220802,America/Los_Angeles,intermediate,advanced,HNL,North America,abalolo-reef,True
Abalone Cove,"USA, California, LA County",33.737772743545,-118.37602257729,America/Los_Angeles,beginner,intermediate,TOA,North America,abalone-cove,True
Aber wrac'h point,"France, Brittany North",48.579247664664,-4.6327972412109,Europe/Paris,intermediate,advanced,BES,Europe,aber-wrac'h-point,True
Aberavon,"UK, South Wales",51.585325889366,-3.8109683990479,Europe/London,beginner,intermediate,SWS,Europe,aberavon,True
Aberdaron,"UK, North Wales and NW England",52.806497325082,-4.7035217285156,Europe/London,beginner,intermediate,VLY,Europe,aberdaron,True
